"","ampl total power alpha zero","ampl total power beta zero","ampl total power delta zero","ampl total power gamma zero","ampl total power theta zero","approx entropy zero","betw cen e-icoh alpha zero","betw cen e-icoh beta zero","betw cen e-icoh delta zero","betw cen e-icoh gamma zero","betw cen e-icoh theta zero","betw cen e-plv alpha zero","betw cen e-plv beta zero","betw cen e-plv delta zero","betw cen e-plv gamma zero","betw cen e-plv theta zero","betw cen e-wpli alpha zero","betw cen e-wpli beta zero","betw cen e-wpli delta zero","betw cen e-wpli gamma zero","betw cen e-wpli theta zero","clust coef e-icoh alpha zero","clust coef e-icoh beta zero","clust coef e-icoh delta zero","clust coef e-icoh gamma zero","clust coef e-icoh theta zero","clust coef e-plv alpha zero","clust coef e-plv beta zero","clust coef e-plv delta zero","clust coef e-plv gamma zero","clust coef e-plv theta zero","clust coef e-wpli alpha zero","clust coef e-wpli beta zero","clust coef e-wpli delta zero","clust coef e-wpli gamma zero","clust coef e-wpli theta zero","correlation dimension zero","dfa exponent alpha zero","dfa exponent beta zero","dfa exponent delta zero","dfa exponent gamma zero","dfa exponent theta zero","higuchi fractal dim zero","hjorth activity zero","hjorth complexity zero","hjorth mobility zero","katz fractal dim zero","kurtosis ampl alpha zero","kurtosis ampl beta zero","kurtosis ampl delta zero","kurtosis ampl gamma zero","kurtosis ampl theta zero","life time alpha zero","life time beta zero","life time delta zero","life time gamma zero","life time theta zero","lyapunov exponent zero","lzc exhaustive zero","lzc primitive zero","mean ampl alpha zero","mean ampl beta zero","mean ampl delta zero","mean ampl gamma zero","mean ampl theta zero","microstate A zero","microstate B zero","microstate C zero","microstate D zero","microstate E zero","mod index alpha-beta zero","mod index alpha-gamma zero","mod index beta-gamma zero","mod index delta-alpha zero","mod index delta-beta zero","mod index delta-gamma zero","mod index delta-theta zero","mod index theta-alpha zero","mod index theta-beta zero","mod index theta-gamma zero","node str e-icoh alpha zero","node str e-icoh beta zero","node str e-icoh delta zero","node str e-icoh gamma zero","node str e-icoh theta zero","node str e-plv alpha zero","node str e-plv beta zero","node str e-plv delta zero","node str e-plv gamma zero","node str e-plv theta zero","node str e-wpli alpha zero","node str e-wpli beta zero","node str e-wpli delta zero","node str e-wpli gamma zero","node str e-wpli theta zero","permutation entropy zero","range asymmetry alpha zero","range asymmetry beta zero","range asymmetry delta zero","range asymmetry gamma zero","range asymmetry theta zero","range coef var alpha zero","range coef var beta zero","range coef var delta zero","range coef var gamma zero","range coef var theta zero","relative ampl alpha zero","relative ampl beta zero","relative ampl delta zero","relative ampl gamma zero","relative ampl theta zero","rqa determinism zero","rqa entropy zero","rqa laminarity zero","rqa max diagonal zero","rqa max vertical zero","rqa mean diagonal zero","rqa rte zero","rqa trapping time zero","sample entropy zero","skewness ampl alpha zero","skewness ampl beta zero","skewness ampl delta zero","skewness ampl gamma zero","skewness ampl theta zero","spectral entropy alpha zero","spectral entropy beta zero","spectral entropy delta zero","spectral entropy gamma zero","spectral entropy theta zero","std ampl alpha zero","std ampl beta zero","std ampl delta zero","std ampl gamma zero","std ampl theta zero","waiting time alpha zero","waiting time beta zero","waiting time delta zero","waiting time gamma zero","waiting time theta zero"
"ampl total power alpha zero",0.996849221689505,0.553067023579741,0.633051274048134,0.243562133079357,0.709614103540011,0.222325576147901,0.00750347449771919,0.0229843996643204,-0.00227990164939945,-0.0033768911209217,0.0224254528287068,0.113464072129279,0.0589200919670505,0.0853726301405277,-0.00130928171139177,0.128583992664631,0.0116194071891731,-0.00442747009416615,-0.0108152126670907,0.000359592034781672,0.0231994441709222,0.0637443846357789,0.00183853377948199,-0.00520198013169057,0.000467851830083395,0.178871600305293,0.336458276631557,0.0316288510226067,0.0738177311530876,0.0141990477536148,0.148564767914503,0.114254881760471,0.00243436695126626,-0.00746804231597255,0.00930286287581463,0.186753762524093,0.0281459093119622,0.0181908871112441,0.0375762420098504,0.0989230281932531,0.0147802590844935,0.260514369102231,0.0730814874841137,0.971310045253913,0.387545387297708,0.268981338160996,0.8316880309522,0.395155026296743,0.015039534867467,0.490692696916718,0.144942522287542,0.128588533775488,0.141980994033888,0.115076822410566,0.0540635217325226,0.12629854696847,0.052942654303593,0.267322586750585,0.543816605591059,0.543129960095003,0.999999999999171,0.553064662528388,0.629900348550419,0.243560873978871,0.709585011246469,0.123495489051336,0.0830454632279816,0.370123675582359,0.0160527918602891,0.170864967718354,0.371491703517793,0.305780023139392,0.0183598743206791,0.208849985616253,0.022476288015574,0.086896048825697,0.291839739386707,0.519262171381492,0.343019257036799,0.407644396520962,0.0623470067250964,0.00350426633889798,-0.000677452010268298,3.64854726819627e-06,0.18677494669312,0.337523950666915,0.0482524157919054,0.109253050746946,0.0199097802640107,0.159439693162913,0.0987272309745719,0.0047389602734262,-0.00380402187610247,0.010345400960008,0.193814412104847,0.70118867241597,0.722017431871141,0.239438573380849,0.0154797786757664,0.0210361141324609,0.19769473922112,0.281652104623029,0.0298492150333989,0.0974084001930244,0.00288188188626714,0.103001768234978,0.539312142466417,0.342080502752535,0.499989916142433,0.460383640328303,0.0674067289256568,0.561755996719019,0.705473619651085,0.397704812192055,0.420781214105533,0.441596608551436,0.720359429166876,0.134476061435463,0.191797437309994,0.644181207427715,0.173823946530872,0.0251056267508298,0.60293323677843,0.0655196139408509,0.163135922400568,0.447163510389541,0.365588672030123,0.514238682617871,0.492141186864367,0.0764070376534656,0.977551514136987,0.537511273077792,0.658039970796826,0.257672733785686,0.723925544483385,0.22652842698055,0.0176271245861167,0.139638429376775,0.130060214501337,0.0360660156477816
"ampl total power beta zero",0,0.99529146272992,0.523653874331658,0.420848567735106,0.38117595229958,0.140314022666406,0.00117193366967408,0.00860196081894844,-0.00325539602323882,-0.00475256782748003,0.00934915966429659,0.0469468938440865,0.0412362971096183,0.030099604181982,0.0153097327889459,0.0349510508856779,-0.00807307727377806,-0.014347811492637,-0.010507775555313,-0.00411029196952949,0.00265154135086077,0.0332910941638155,0.0223618715349674,-0.00676626178811467,0.0002369812894746,0.0629053118335097,0.112480355636938,0.0205695124876204,0.0295825806512341,0.0073982419590791,0.0151370241043138,0.0476628329663455,0.0198572208398191,-0.00857101627788252,0.00891701466086389,0.060422074024345,-0.00547394460727028,0.00434305722628824,0.0345628332311033,0.0706585239414613,0.0150734367812722,0.108717928682239,0.145364929275236,0.617046998798153,0.43186456998796,0.03556776114166,0.761246555479658,0.0526638397034668,0.0234322039767671,0.41251050583767,0.189094760843169,0.268799047663746,0.0216812301040117,0.0384188607843118,0.0782965827241737,0.0390058978189635,0.00583758623361816,0.35990806702595,0.0922179830136526,0.0961769000597139,0.553066836926781,0.999999999987254,0.522201715008483,0.420847197421517,0.381160103659314,0.0278917628898229,0.0270843415022084,0.106440408439711,0.00929342660121399,0.0464246623055454,0.237334378321016,0.244041332927695,0.0345867073980118,0.0175882048803426,0.044112181247352,0.0879166078726855,0.247900931004958,0.116693237865254,0.141076239507054,0.186288664757685,0.0335987035492738,0.0220291348712314,-0.00345886329828433,0.000196551181673559,0.064132508914556,0.115728137714266,0.0300736009540328,0.0461896038278182,0.0147784956236591,0.0271041963593539,0.0429196483232668,0.0195676645964327,-0.00713937248939519,0.00885425340234443,0.0630931198475886,0.290175143740751,0.321816525548988,0.18149837582988,0.0582349274147415,0.0223141013291917,0.0734954044022135,0.131051037318132,0.0151692057755923,0.170130028839698,0.00529952681749614,0.13328054910834,0.156019608740182,0.0403238445361581,0.292787487379455,0.213114859429442,0.0412333188112238,0.128037570060967,0.329790918260793,0.0790117459534692,0.0885785797456829,0.172594292566573,0.31420809702748,0.0367566379434195,0.0548624380278395,0.25303915789536,0.0570282759237069,0.0664473753024455,0.363021263109608,0.225779426164473,0.0260575876181069,0.208788144799896,0.0434997527516741,0.290240685696807,0.226220226024625,0.0463286814794718,0.6274339357974,0.991593077190638,0.528976616113523,0.438728564850118,0.409750054331989,0.0481926561025533,0.0787698084143008,0.155382331257323,0.0542218882074004,0.0302518036551946
"ampl total power delta zero",0,0,0.995856845625314,0.263337366512786,0.790222430697003,0.147813136765218,-0.012652163940378,0.0384999756291988,0.0145552574260262,-0.00671548490996504,0.0154219802331944,0.046295017830234,0.042576532048743,0.097394604527143,0.016764538076125,0.0727831759124686,-0.00984139088743502,0.0125826373261188,-0.0108138950618782,0.0154011518599013,0.0261135246971357,0.0357956350876839,0.0193155907122476,0.00201225974296172,-0.00282641022128927,0.160488360859495,0.107187869388064,0.00475204277078827,0.0999560455800601,0.00894968110064749,0.0934419042706026,0.0487523753729151,0.01889451490196,0.00248505180780694,0.00499305844649065,0.159277863275806,0.0238984377259894,-0.00207556203936022,0.0274588829802569,0.193612974441696,0.0372778488855218,0.218725092062767,0.0486509791858415,0.760980116942738,0.110699024064339,0.297423599528814,0.670318182056652,0.206263846157428,0.00914868915671031,0.435098086911496,0.129663266395172,0.122059649184913,0.0207955112890354,0.0553458267428562,0.148380124092275,0.0579925142044658,0.0550994159987989,0.09435652372902,0.352333721107563,0.350332592291375,0.633050856618403,0.523653036773041,0.999985960840414,0.263336304421345,0.790214777639876,0.0693881283609022,0.0347633499630148,0.100543108060862,0.00561843150491643,0.0689041887475788,0.146410091116538,0.146523409365561,-0.000629103657035439,0.10087156969257,-0.000726120363371789,0.00619903789535009,0.126578857191853,0.235052283206619,0.18019185656944,0.209898421512974,0.0334369056723996,0.0214170265581902,0.00943389546051355,-0.00127031460123582,0.163806961724062,0.10713423802032,0.0170248182579545,0.135937886044738,0.0114005886106918,0.10119389290126,0.0430280397190758,0.0222242971988627,0.00891122847468083,0.00499792051699739,0.166702563781931,0.426403769427213,0.425789712396598,0.135889960695142,0.0801512871929472,0.00963226003667086,0.231984409074708,0.258720975137764,0.0356355682540081,0.22943877836065,0.000729520150751834,0.118109564668413,0.138920150238341,0.220786419228795,0.133242647409013,0.33968967223564,0.0542163485293556,0.394613711215972,0.357264030912028,0.360542390090266,0.388520498853418,0.316025984888796,0.328873003754268,0.2027377757655,0.274787268471928,0.465885817580318,0.0166114653768115,0.000295874904262879,0.339597621401908,0.070295635726829,0.0975235518383871,0.122803035154339,0.239007806043834,0.132702236006421,0.364394992906669,0.0494452881622241,0.647996656201752,0.512974637807837,0.997204484238476,0.273095681360133,0.805703345459197,0.0385470724117765,0.0200741234820499,0.324522240491718,0.0625488386424882,0.101782325678429
"ampl total power gamma zero",0,0,0,0.989529957410281,0.201099761262357,0.164363776240406,0.00140224025373264,-0.00413046202238214,0.000396984619482274,0.00312469796069317,-0.00136206177741961,0.00873682751940571,0.0319906039205701,0.0104782510121342,0.10095038180385,0.00759230598605752,-0.00637123889105817,-0.0163414537413251,-0.00685350631722474,-0.00639819776145325,-0.00101236006675042,-0.00408017749718428,0.00441780516442737,0.00944433046410007,-0.00411937255306564,0.0364980943225949,0.0122342560829403,0.0584311657066059,0.013385629472164,0.0843134773149939,0.00512913230857509,-0.000535963868829085,0.000991892878697506,0.0114542760504209,0.00196996015633939,0.0356569517997085,-0.00535842058619683,-0.00544982445753524,0.00140762376227536,0.0693278097384955,0.0108731352642221,0.0560461309006,0.152042614014469,0.289848672643762,0.145288289097635,0.0831441026168972,0.451216627054324,0.0404730243921964,0.0222015052090696,0.269126587452162,0.0645679724498271,0.106311404580396,0.00885444975672621,0.0356492217380145,0.0509169307706995,0.0674277314786723,0.0109784351625404,0.0602713504513338,0.0583420450006512,0.0607467292751671,0.243561995063347,0.420848914050364,0.262652300233737,0.999999999996905,0.201093020248863,0.0165319059509385,0.0287797622401235,0.0353072016536526,0.0230942515817655,0.0157002289361788,0.0687673902269214,0.0657763642912079,0.0347469793294294,0.00759757909772152,0.0396098544826245,0.0367634929028451,0.141200735729067,0.0821140949800595,0.0404051471576302,0.125484150113445,-0.00330211489526532,0.00513010837056571,0.0122359568896965,-0.00184186723973377,0.0349977747490238,0.0152985039796175,0.083072937309817,0.0205512079999841,0.0961798533905334,0.0114604119107569,-0.00232588837790393,0.00159408909001938,0.0156236109301397,0.00512031667920566,0.0323295490477277,0.059503542334034,0.114536272675044,0.0718052063079511,0.0571033915975271,0.0744084372067542,0.0276482678964846,0.0847580810426853,0.0177018329676608,0.143465426828623,-0.00167039251807784,0.0757524233817297,0.0423313112675565,0.0273553603289819,0.1684338441902,0.123887676821339,0.0191698016249883,0.054004034061246,0.0586521022864303,0.0753688771874114,0.027645935946254,0.0311233068977229,0.0535554811610023,0.0863801928551981,0.0673419260072767,0.0633554524166245,8.10981987533231e-05,-0.00291054523391292,0.229719218602281,0.100805454098756,0.0391975015416644,0.0488405788684806,0.030176863449537,0.167984594131855,0.110863830982911,0.0224364916787862,0.25700740117103,0.420130590977213,0.268480356150748,0.995132513819937,0.213520677860386,0.0135748855575499,0.024762678458152,0.0916358095126742,0.0677484025394349,0.0219760956669488
"ampl total power theta zero",0,0,0,0,0.997265701310609,0.178395995393933,-0.00829017401491279,0.035549349760071,0.0146498905668937,-0.00755750790336845,0.0266218279769616,0.068006388109505,0.0144433361075177,0.114747710001469,0.00148699275610684,0.132966310114747,0.00194712845583414,0.0074594035532214,-0.00507392902180611,0.0114935326706657,0.031189369037012,0.0592494833976616,0.0166885056181157,0.00648946298089886,-0.000167021615329949,0.315499525441067,0.213873851149983,0.00924885481455364,0.126935638814028,0.00789574256813425,0.261842368922449,0.0928834085527904,0.015222388555791,0.0119778222789564,0.00599809253441667,0.343400746745855,0.0324099328249922,0.00751906290214767,0.0271499798319661,0.165997276834156,0.02698287143932,0.348296383941004,0.0542672413950554,0.7958034254845,0.147621668342913,0.387756258387985,0.675852581598918,0.335682009685802,0.0215940138175684,0.498394401639736,0.0933196601191953,0.119997734375329,0.0361675196073816,0.140582611489262,0.0927337273266994,0.111050555001358,0.0655946697460992,0.0594028493103596,0.503644616570862,0.498654429183466,0.70961364461232,0.381174980278553,0.788737178815542,0.201098875204,0.999999998493777,0.09366715011326,0.0834169864545442,0.182514951438125,0.00397356202009297,0.0662786655513086,0.157222759118028,0.150751789381896,-0.00314514080507917,0.171091684537611,0.00231020118989075,0.00691418820052197,0.142151167910452,0.467630820352377,0.395362906820433,0.45997720548798,0.0550947959968605,0.01821245569051,0.0132927446534393,0.00136387356096351,0.322954475832082,0.210045548201339,0.0200614207045641,0.160984512349411,0.00948445960395305,0.251889570526389,0.0787919578716969,0.0183050879833336,0.0206330948916098,0.00806091156777747,0.349404802664877,0.563123430932612,0.521580805265581,0.175689880990567,0.0431968352989971,0.0167612731620734,0.313973805660542,0.334516731505284,0.0528728281003447,0.165034541503429,-0.00556383037305116,0.1501936116247,0.243335248077064,0.327842988755594,0.281742933065539,0.399617306799898,0.0786875119719732,0.52267139802157,0.459040431040851,0.453820310844297,0.459218751484871,0.368287176318695,0.439163628802904,0.213091891958417,0.290364725669825,0.572516104553328,0.0200469114216953,0.0241440217378404,0.494801581358701,0.0421112591078852,0.344804160284826,0.192543137029516,0.352831335179123,0.285145026741649,0.430964162616225,0.062589942642169,0.698979460769212,0.364144394012106,0.806760562120503,0.207186273573849,0.994150856715081,0.068225508647164,0.0591481756140691,0.207583331010039,0.129355247680025,0.14043883405248
"approx entropy zero",0,0,0,0,0,0.970871565019743,0.00317994103347528,0.01562716820351,-0.00330682396396952,0.00836459677301555,0.0094312540929625,0.046892218927513,0.0576592782924214,0.0279129998861227,0.0591736142207089,0.0504257771681236,0.0226477699432488,0.00408392272802939,-0.020096780801178,0.00654421124680552,0.0113645667547753,0.0454027718412728,0.021047469474037,-0.00837932428141662,0.00698309084597635,0.0904835517084392,0.121782769304456,0.062725143585195,0.0165190267580423,0.0122843157700627,0.0813672142151291,0.062443180585587,0.0198350802343168,-0.0110922312553187,0.0342367496574148,0.097463860997764,0.0469225994669342,0.00854909628761969,0.0234346005806658,0.0360566525369293,0.0124118244565754,0.146349285104288,0.359582903838113,0.204194977702873,0.28208361967323,0.767273995755296,0.174552353295977,0.126322033784758,0.0345821123850462,0.11950751439261,0.0610636142529416,0.0635424621542307,0.0759336311076426,0.0962203013743764,0.00303250233565714,0.186370261152181,0.0220770175569559,0.147079273819403,0.620222342003161,0.634632796621268,0.222325579666694,0.140313831682968,0.14735766053941,0.164363840079692,0.178392200413207,0.160075896658109,0.104143987706939,0.144238601060163,0.0500704269914084,0.105478513512211,0.118475228448885,0.0985879288576952,0.0137986901734637,0.10128338897308,0.050149127085988,0.0621095075683021,0.103648741472876,0.157469670248527,0.13395435274228,0.109102022377309,0.0428452599066561,0.0230463801844882,-0.0073117651855518,0.0112397756700646,0.0959367362698558,0.118528590605728,0.0767600328124193,0.0289382823733646,0.0255639437794349,0.082398327433187,0.05532343356704,0.0210837838463543,-0.00966604624179694,0.0367472932594989,0.104939033383954,0.407066676755267,0.21165221436426,0.0730688601213906,-0.00604262737032028,0.0201656207536925,0.048694215421938,0.0513752600759679,0.00424979491638391,0.0219819018739263,-0.00172286404764745,0.0503981120920026,0.196324749326018,0.534571359632164,0.149509328894932,0.625248902352383,0.143507447488248,0.622373185899849,0.379528493786492,0.744412649467123,0.572191740161915,0.46908832657952,0.336353454386666,0.553078301578496,0.602916611602,0.534790340630273,0.0591543297260937,0.0132726402196682,0.151899933482144,0.122072929264837,0.0704029469340302,0.171772960099098,0.548106482422596,0.152213791088076,0.609821705268807,0.145887176308231,0.22486563099958,0.142807349729678,0.148239761106746,0.16456961325216,0.182634147365359,0.112802782357251,0.0756859607099487,0.0314976493568964,0.191812276012555,0.035539134794567
"betw cen e-icoh alpha zero",0,0,0,0,0,0,0.131248990030524,0.0410337843645307,-0.0202726158919511,-0.0012337375465142,-0.00832575335313217,0.325093487794284,-0.00776171575495484,-0.0079157904451846,-0.0143321082886192,0.0124452859346505,0.532727785428466,0.048605904258117,-0.0116047423191933,0.00661861879052997,-0.00386176156075432,0.4028959932715,0.0574747278482984,-0.0120833948467547,-0.00509278917799727,-0.00241298382764181,0.0994467808885599,-0.00501948898104131,-0.00564035227721943,0.00320774559617604,-0.00102007169169099,0.352379729105106,0.0567305874431986,-0.013311066787489,-0.0037335637259709,0.00383208073738299,0.00217812002271051,0.00328787001397706,0.00388199375027224,-0.00897734314739775,0.00321544888407259,-0.00652455779400472,0.00676000635157435,0.00168629745822022,0.0312207219137205,-0.00372955170650125,0.00538243865455687,0.00369046464866291,-0.000544138932693003,0.00751465698985671,0.0144368192227248,0.0137512002704912,0.00465446145512372,0.0160698413850721,-0.00580008304506259,0.000657009943576602,-0.00818480190605163,0.0178421288059855,0.00431265469390023,0.0045912304606183,0.00750349642091535,0.00117194415501382,-0.0127347804495149,0.00140227288920547,-0.00829057052322696,0.0368864265853487,0.0193105863201695,0.00792909945351898,0.0146789587706374,-0.0135944391404161,0.015243403918707,-0.00367075967211024,0.0213247368795135,0.000117279208751206,0.0020530367062715,0.00693105792921124,0.00758034816323831,0.011305963076139,-0.0115574577210766,-0.000945675405870919,0.439424603137988,0.0606174632096911,-0.0142089925719653,-0.00413564072704024,-0.00140890364454898,0.0890216497088163,-0.00520847829596569,-0.00587798942779932,-0.000687677824344425,-0.000482780096793234,0.396890403192104,0.0616020674679171,-0.0131620816145123,-0.00459435317882847,0.00590375110618321,0.0167660502451091,0.0159508163890395,0.0279786820686712,-0.00544190011462359,0.000627078040132216,-0.00252312602624726,-0.00299357302271202,0.00322519625763675,0.00144457160430457,0.0171732649698315,-0.00320837326035862,0.0237684860871243,0.0057614739605179,0.0253946814238526,0.00978205146601778,0.000458225424120741,0.00921138596641016,0.0242499171873696,0.00177062409841826,0.0057726731382985,0.0191658754533499,0.0259787368810879,0.00652090678788279,0.013432280459244,0.0111098804121695,0.00637913066561454,0.0305654001190389,0.00070956662826144,-0.00407272462411583,-0.00106878877860638,0.0336291139696774,0.00499335478916305,0.0222186508924262,0.0099356166535612,0.000112355553991799,0.00280196665776111,0.00134773889251902,-0.0120145695183257,0.000810967632881394,-0.00807746212717616,0.0111062449838745,0.0330888366694111,-0.00858315910117273,-0.00385497255545457,0.00118528535109023
"betw cen e-icoh beta zero",0,0,0,0,0,0,0,0.346579349856215,0.0049392503821294,-0.0154707439114841,-0.0168730621685251,0.0216673070707979,0.139503063970786,-0.00634611643414994,-0.0153593528580982,-0.00570940937145124,0.0201452449908975,0.51448768903957,-0.00751761537478218,-0.00099069396238624,-0.0109902758995519,0.061723065334599,0.606076297775336,-0.00594288565205011,-0.00293439037634925,-0.00245923725391448,-0.00227120738557197,0.0958576547741006,-0.00614757890573806,0.0057748753575786,-0.0111743676238558,0.0495758443152993,0.634142287842978,-0.00596196896007265,-0.00273446448778897,-0.000527841780940306,0.0269439028764095,-0.00462776835791909,-0.00890967656199479,0.0106325834928075,-0.00560058665540707,-0.00105391971621138,0.023767920959933,0.0290391162202101,0.00983712402243276,0.0366832327741349,0.0237416335733819,0.0436246864210425,0.0349946356643019,-0.00526493378401912,-0.000640560828226712,0.00627128111680602,0.00239577037060527,0.0901601859062446,0.00617322644112649,0.0615364346039842,0.0024984463626641,0.00418500788577904,0.0288203277609241,0.026568965047936,0.0229843929840272,0.00860199760238163,0.0385506537093859,-0.00413047892423674,0.0355485672276722,-0.00388011759411179,0.00636684870880834,-0.00457358506902399,0.0325494058676321,0.0015107983358848,0.00516368903161447,0.0106008362928784,0.00752496703800113,0.0400491204565777,-0.00540121708671012,-0.00279575653581707,0.00482715070421251,0.0134589043700985,-0.0015588259990389,-0.00238047935451102,0.0673333392562247,0.639981363929407,-0.00701689690313309,-0.00211916405739523,-0.00213997830733623,-0.00349180221253899,0.0616423800219948,-0.00765080119576192,0.00187520601893356,-0.0101533288151149,0.0582320698416935,0.677279863456811,-0.0053981965470312,-4.71997983655403e-05,0.00106766983522686,0.0144145379528456,0.0203733954856105,-0.00828769245594478,0.00426814512269447,0.00737145542809574,0.0281859632778045,0.0410831009584522,0.00791850279371034,0.00485810693429772,0.000575341353229305,0.0131928268403852,0.0145598255997138,0.0660275596640515,0.00466194374918953,0.00106738964686554,-0.00072446978848287,0.0233417407714001,0.00375356996996753,0.0221766752458427,0.0156781562986828,0.00428634969426338,0.00587177860783776,0.00989023452328516,0.00184273295804528,0.00790069734896135,0.00241927031307059,0.00131236662286631,-0.00465865818027523,0.0267830896805786,-0.0123219381055281,0.013890179235025,0.0621073196056772,0.0034770938748309,0.00232836232468924,-0.00197661235421963,0.0187772041938854,0.00874766982347795,0.0368717756231495,-0.00365756199800271,0.0368242544855066,0.00549499323694159,0.0773530581266787,0.0188356995283812,0.0702783303115024,0.00381545476163286
"betw cen e-icoh delta zero",0,0,0,0,0,0,0,0,0.0216812849840034,-0.00894956633863217,0.00340088626030437,-0.00850330159321134,-0.0103212102396582,0.101734505337604,-0.00144844634872197,0.00606375318789882,-0.0135333048217333,-0.00445839956544279,0.373312705329083,0.0192057211746442,0.0392984897527215,0.00299195457967496,0.00615226599922863,0.219500243981127,-0.00467370445587625,0.0233911293119171,-0.00252912930445926,-0.0146732434962037,0.0353999066012449,-0.00722187713760523,0.0215531859596764,-0.00331452140469937,0.00152519674618611,0.211415621597206,-0.00293316902898224,0.0205403474774625,0.0142937254939192,0.00352257343321577,0.0167679534224633,0.00667249002395846,0.0198703766266511,-0.000198223740153844,-0.00784581698375307,0.00222619569288692,-0.0158066071955227,0.00834887370408013,-0.00320561534426188,-0.00486374316132288,0.0101401314132707,0.00991972419121731,-0.00044155636296555,-0.0151798180734609,-0.00640761303696022,-0.00200615795851742,0.004076266157451,0.0114010965770823,0.00659798917931822,-0.0150045658601383,0.00601676736875055,0.00586035098000672,-0.00227990682455504,-0.00325541732006927,0.0145720761804722,0.000396997693671841,0.0146505903208989,0.00648101105092934,-0.00535374798584596,-0.00278104082472797,-0.00645236743049932,-0.0102493314899331,-0.00610190285870595,0.00910921261171027,-0.0100994756343506,0.000770103587108826,0.0130357826544292,-0.0122747270237737,-0.00575722844906965,-0.00380864088591122,-0.00829228510515457,-0.00372659561229569,0.00133724819809762,0.00562139119926082,0.271771588802736,-0.00552378133273946,0.0229233316536332,-0.00231193949348642,-0.0152143550232577,0.0246534834960066,-0.00764783485949151,0.0204800256394327,-0.00337802090292104,0.00283305779897809,0.248975071259089,-0.00358305739139204,0.0191436600530496,-0.00526251604078732,-0.00666364148919951,-0.017533225467507,0.00632952298070678,-0.00690202909089126,0.00178770679555814,-0.000544712132018407,0.0015734921130905,0.0063203559237189,-0.00966272489110924,-0.00782784073605558,-0.00817648896182872,0.00965836182163895,-0.0111562681603703,-0.00501618454976901,0.0114101083382168,0.00773228015771015,-0.00503071205199032,0.00999270739165549,0.0119119473849133,0.00410736121041255,-0.00590543155814403,0.0207336837398211,0.0152327510388012,-0.00196262731001449,-0.00166498460944506,-0.0182210305295043,0.00881726593617764,-0.000724170173388474,-5.64459473544444e-05,-0.00541575565593236,0.0104300789364676,-0.0118222423582514,-0.00508713719704055,0.00979906089927509,-0.00101829065536434,-0.00120131284166071,0.0150625366045719,-4.61466720146883e-05,0.0139197610610976,-0.0104265317844642,-0.0055264851514076,0.00761657657464411,0.00607083429717769,0.00438393000151061
"betw cen e-icoh gamma zero",0,0,0,0,0,0,0,0,0,0.442483497802358,0.00386089491072084,0.000448565732316953,-0.00899119025445604,-0.00333985085575578,0.00820702067648348,0.00419346402267333,-0.00143983419062918,-0.0172101507057725,0.0016447081387248,0.09469828239591,0.00540207473857778,-0.00138653990365374,-0.00734898273340063,-0.00280980171827459,0.543912264276853,-0.00505243114238533,-0.00456468888184452,0.0152975313538938,-0.00527120681800632,0.000839194674204225,-0.00157956044485624,-0.00286846311453788,-0.0112170587241325,-0.00597613438993896,0.552475195232929,-0.00591240871137303,0.000163652423006692,0.000437329977332076,0.00247454306005252,0.000340244485899991,-9.67292490001391e-05,0.00127882941192424,0.000543086416962944,-0.00525683520368225,-0.00791310339943174,0.0161425343306956,-0.0058559719716458,-0.0104268370170911,0.0114273692578214,-0.000859191374326506,0.106952489086219,0.00656532437386938,-0.00328435691619267,-0.0109105743550176,-0.00154049916574285,0.00625687780123211,-0.01036109875305,-0.00376852903375659,0.00638752661156821,0.00655377394330262,-0.00337687548733683,-0.00475258229337991,-0.00667504159561088,0.00312472416918074,-0.0075573825775907,-0.00244126921801697,-0.00578840923856248,-0.00528683625970383,-0.00784955101261983,0.0128803366135174,-0.000864448162624656,-0.00198842873724684,0.11120694392333,-0.00539550858300836,0.0273683698572742,0.0767828255603921,0.0109300122608022,-0.00645454435121565,-0.000914959015533913,0.00278637514142776,-0.001469916061542,-0.00504788798148527,-0.004539914731598,0.594130677156957,-0.00419472434598215,-0.00409304712065017,0.0223529904879702,-0.00307631592141996,0.00301626609711392,0.000171353994838072,-0.00308829609643274,-0.0116172336592795,-0.00717488927318473,0.597836900113781,-0.0047858682330567,0.0059288053913338,-0.00803609036576019,-0.00548888257252863,-0.00731192400366931,0.0124794075656865,-0.00836596549758002,0.00281653729309626,0.0149857984758567,-0.00594477785692755,0.0842378675567682,0.0011855694525944,-0.00661850305080373,0.000729007930670677,-0.0056879589878134,0.0283355342937032,-0.0049683316819233,0.00988217554857633,0.00437506092728166,0.0162810312707529,0.00872211382095686,0.00353504451559986,7.25905942461625e-05,0.0234273202962663,0.0150371250086017,0.00992088706724966,-0.0039435285513383,-0.00385240149465935,0.00628638956911425,0.00301461460892288,-0.00966794342838461,-0.00657238647603632,0.000896418974072262,-0.00558915825515252,0.0264773926708479,-0.0041780883098596,-0.00295919665671682,-0.00519382432574818,-0.00788508554891491,0.00477803224324538,-0.00682513955161725,-0.00119276424938245,-0.0144713837730552,-0.00699074210487724,0.0113123745869307,-0.0113561169625625
